bl_no,route,atd,schedule,pri,sheet
229948133,,2023-08-12,2023-10-03,30,2023
228347873,,2023-08-19,2023-10-15,30,2023
230184449,,2023-08-19,2023-10-15,30,2023
228348429,,2023-08-19,2023-10-15,30,2023
228347878,,2023-08-26,2023-10-17,30,2023
228348438,,2023-08-26,2023-10-17,30,2023
229397772,,2023-08-26,2023-10-17,30,2023
229999693,,2023-09-04,2023-10-24,30,2023
229999696,,2023-09-04,2023-10-24,30,2023
229999698,,2023-09-10,2023-10-30,30,2023
229999699,,2023-09-10,2023-10-30,30,2023
229999697,,2023-09-17,2023-11-07,30,2023
230000288,,2023-09-17,2023-11-07,30,2023
229999112,,2023-09-17,2023-11-07,30,2023
229999695,,2023-09-24,2023-11-15,30,2023
229999113,,2023-09-24,2023-11-15,30,2023
230000295,,2023-09-24,2023-11-15,30,2023
231195775,,2023-09-30,2023-11-14,30,2023
231194122,,2023-09-30,2023-11-14,30,2023
231195773,,2023-10-08,2023-11-20,30,2023
231196292,,2023-10-08,2023-11-20,30,2023
231196294,,2023-10-21,2023-12-04,40,2024
232229587,,2023-10-21,2023-12-13,40,2024
231194678,,2023-10-21,2023-12-04,40,2024
232229072,,2023-10-21,2023-12-04,40,2024
231707816,,2023-10-28,2023-12-11,40,2024
231713744,,2023-10-28,2023-12-11,40,2024
231715199,,2023-10-28,2023-12-11,40,2024
232504018,,2023-10-28,2023-12-13,40,2024
231707815,,2023-11-04,2023-12-18,40,2024
231716410,,2023-11-04,2023-12-18,40,2024
232722658,,2023-11-04,2023-12-19,40,2024
231716409,,2023-11-14,2023-12-28,40,2024
231707820,,2023-11-14,2023-12-28,40,2024
232941359,,2023-11-14,2023-12-28,40,2024
232941866,,2023-11-14,2023-12-28,40,2024
231709645,HAM-SIN-SHA,2023-11-27,2024-01-25,40,2024
231717525,HAM-SIN-SHA,2023-11-27,2024-01-25,40,2024
231715195,HAM-SIN-SHA,2023-11-29,2024-01-27,40,2024
232939492,HAM-SIN-SHA,2023-12-02,2024-01-25,40,2024
232940819,HAM-SIN-SHA,2023-12-02,2024-01-25,40,2024
232940110,HAM-SIN-SHA,2023-12-02,2024-02-22,40,2024
232939495,,2023-12-10,2024-02-09,40,2024
232940822,,2023-12-10,2024-02-09,40,2024
232939503,,2023-12-20,2024-02-09,40,2024
232940820,,2023-12-20,2024-02-09,40,2024
232940116,,2024-01-06,2024-03-04,40,2024
232939508,,2024-01-06,2024-03-03,40,2024
232941358,,2024-01-06,2024-03-03,40,2024
232940816,,2024-01-06,2024-03-03,40,2024
234707219,,2024-01-06,2024-03-03,40,2024
233853205,,2024-01-10,2024-02-21,40,2024
233854250,,2024-01-10,2024-02-21,40,2024
233853193,,2024-01-10,2024-02-21,40,2024
233853203,,2024-01-27,2024-03-15,40,2024
233854251,,2024-01-27,2024-03-15,40,2024
233854249,,2024-02-02,2024-03-25,40,2024
233853199,,2024-02-02,2024-03-25,40,2024
233853201,,2024-02-07,2024-03-25,40,2024
233853213,,2024-02-07,2024-03-26,40,2024
233854252,,2024-02-07,2024-03-25,40,2024
235475222,,2024-02-10,2024-04-03,40,2024
235893882,,2024-02-10,2024-04-03,40,2024
235475220,,2024-02-19,2024-04-18,40,2024
235475227,,2024-02-19,2024-04-18,40,2024
235474676,,2024-02-19,2024-04-18,40,2024
235475218,,2024-02-25,2024-04-25,40,2024
235475213,,2024-02-25,2024-04-25,40,2024
235474674,,2024-02-25,2024-04-25,40,2024
235474672,,2024-03-07,2024-05-23,40,2024
